club_name,aliases,logo_url,logo_path,primary_color,secondary_color,color_source,notes
Agawam Boy's Youth Lacrosse,Agawam Boy's Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/f84d689b-35c1-40d9-ab45-2677dfdc4545.png?versionId=8V1ItlnY_F30jyihlhDpT9rEVaNo0PrG,assets/logos/agawam_boy_s_youth_lacrosse.png,#c04020,#e04020,extracted_logo,Parsed from CVYL club listing.
Amherst Youth Lacrosse,Amherst Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/b4532904-ba4f-4c09-b240-427081d6aaa5.jpg?versionId=zZUuOPDUjiRKcbu_WxBwnrNHui7U3KXo,assets/logos/amherst_youth_lacrosse.jpg,#402020,#604040,extracted_logo,Parsed from CVYL club listing.
Avon Youth Lacrosse,Avon; Avon 12U; Avon 12U A; Avon 12U B; Avon Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/34e825e4-d2e5-462c-ad0e-4621a672391d.webp?versionId=Js6ipRVR5Gh3VNy9TdJDyJ9Z4Gx8pswc,assets/logos/avon_youth_lacrosse.webp,#002040,#c00020,extracted_logo,Initial manual club mapping for CVYL U12 Boys branding review.; Parsed from CVYL club listing.
Belchertown Lacrosse Association,Belchertown Lacrosse Association,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/8de025bc-5f9b-4e8c-a438-2bb200c98f07.jpeg?versionId=vmTNhopoebozagvHX4cPRAnVmTIa8dbc,assets/logos/belchertown_lacrosse_association.jpeg,#a06040,#e0e0c0,extracted_logo,Parsed from CVYL club listing.
Berkshire County Youth Lacrosse,Berkshire County Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/4db24fbc-d23c-4174-922a-7cd4eb1c3a2b.jpeg?versionId=KEhBYev9vQJz4sJhBmDEoVQmmSLSr0xS,assets/logos/berkshire_county_youth_lacrosse.jpeg,#e0c000,#e0c020,extracted_logo,Parsed from CVYL club listing.
Berlin Youth Lacrosse,Berlin Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/430aeb8b-bbbc-492f-ae3b-803579e610d8.jpg?versionId=Flve9_nyaFR_A_IOIkBQ9USxwhxk_Nwe,assets/logos/berlin_youth_lacrosse.jpg,#e0c0c0,#602020,extracted_logo,Parsed from CVYL club listing.
Bristol Youth Lacrosse,Bristol Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/08dbf93c-6d63-4a5c-b3ac-07e1412579e7.png?versionId=RktdxyCpnVjWI5wMiK2A.9L4d5_3MXcX,assets/logos/bristol_youth_lacrosse.png,#e0e0e0,,extracted_logo,Parsed from CVYL club listing.; Only neutral logo colors were available.
Burlington Youth Lacrosse,Burlington Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/dcde6ff2-786f-4a5c-9709-833124b93be4.jpg?versionId=8D0E_WYa0CjeOXiXbW_o1QjbtMzYpCc9,assets/logos/burlington_youth_lacrosse.jpg,#0060a0,#c0e0e0,extracted_logo,Parsed from CVYL club listing.
Canton Youth Lacrosse,Canton Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/b36d4d21-c45a-495c-92c2-713086cf6078.jpg?versionId=dnzBtE_Sp9qHfKePiWPBvXrZXpFPCI_L,assets/logos/canton_youth_lacrosse.jpg,#600020,#602020,extracted_logo,Parsed from CVYL club listing.
Colchester Youth Lacrosse,Colchester Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/ebaad117-673e-4051-8791-4a4fb95139dc.jpg?versionId=6.FjqsX8YHbvFknvoPO9FsGDu.YcK6s8,assets/logos/colchester_youth_lacrosse.jpg,#c00000,#a00000,extracted_logo,Parsed from CVYL club listing.
East Longmeadow Boys Youth Lacrosse,East Longmeadow Boys Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/c272506a-832e-439a-ac54-a626cf8ce365.jpg?versionId=1Urli1edUmZ8I3Ef0Yjxbg.k1o5za.mL,assets/logos/east_longmeadow_boys_youth_lacrosse.jpg,#400000,#600000,extracted_logo,Parsed from CVYL club listing.
Ellington Lacrosse,Ellington Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/38ac2027-ac8f-4b15-915d-68a0f60cc54b.jpg?versionId=eFAPcnzlSwUI2R4SMMzXxNkPL.8HTdgB,assets/logos/ellington_lacrosse.jpg,#e0e020,#402060,extracted_logo,Parsed from CVYL club listing.
Farmington Youth Lacrosse,Farmington Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/6a751b18-378b-43cb-88e8-ac6e7da1f066.png?versionId=msnDeADPICj53zJdEU24wC1B0jIRlu3u,assets/logos/farmington_youth_lacrosse.png,#600020,#400020,extracted_logo,Parsed from CVYL club listing.
Glastonbury Lacrosse Club,Glastonbury Lacrosse Club,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/20429076-a99b-46e5-9019-5bf1b9738bdd.jpg?versionId=wxP00JctbSS.67Zw2Qi5ZBwv9432GcGR,assets/logos/glastonbury_lacrosse_club.jpg,#0060a0,#c0e0e0,extracted_logo,Parsed from CVYL club listing.
Granby Youth Lacrosse,Granby; Granby 12U; Granby 12U Blue; Granby Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/c3449086-8be5-4884-bc7d-add740300d0f.jpeg?versionId=tBKuLAP1Ncbz63t45uQmy1TgM7JzKpUD,assets/logos/granby_youth_lacrosse.jpeg,#400020,#400000,extracted_logo,Generic youth club entry; safe for boys teams unless a boys-specific entry is added.; Parsed from CVYL club listing.
Longmeadow Boys Youth Lacrosse,Longmeadow Boys Youth Lacrosse,https://crossbar.s3.amazonaws.com:443/organizations/776/uploads/4d8869d5-afdf-4bc0-b551-10ef73d6fe0f.png?versionId=NvqJRiRkUSgjyAxdHdQIzZDwIvhwGk1n,assets/logos/longmeadow_boys_youth_lacrosse.png,#806060,,extracted_logo,Parsed from CVYL club listing.
