team,elo,games_played
West Hartford 12U Gold,1683.6394241385387,11
Westfield 12U Red,1659.3525560008175,11
Suffield 12U,1659.1713759011616,12
RHAM 12U,1647.0438660530729,10
West Springfield 12U,1614.936259856093,11
Wolcott 12U,1612.3823904054814,16
Minnechaug 12U,1611.085654911757,12
Suffield 12U White,1605.969964588764,12
Minnechaug 12U White,1583.2215638807756,10
West Hartford 12U Green,1564.4156248938395,9
Avon 12U B,1546.493486855502,7
Connecticut Valley Youth Lacrosse,1538.7197456008075,450
Southington 12U Blue,1533.217979964223,12
Glastonbury 12U White,1532.3501899916778,8
Wethersfield 12U B,1530.8281975757193,9
Belchertown 12U,1527.4715932630565,10
Ellington 12U,1525.7323496038991,9
Avon 12U,1524.483882755474,5
Suffield Juniors 1 Blue,1524.467692879266,1
Somers Juniors,1519.438257889616,1
Meriden 12U,1517.86209264333,12
Berkshire,1513.984841685046,1
Farmington 12U Red,1513.595733118705,8
Wethersfield 12U A,1513.4725238858123,7
Suffield B,1510.0712197600378,1
Berlin 12U A,1504.4832729811567,11
Burlington 12U,1502.1549379279886,8
Westfield 12U Black,1497.5692914285225,9
Vernon 12U,1491.7198677528195,10
Somers 12U White,1490.1407829459456,7
Longmeadow 12U White,1490.0875450523188,1
Simsbury,1486.1148422959,1
South Windsor 12U,1484.609561499217,11
West Hartford Green,1484.334708227555,1
Longmeadow 12U Black,1483.9382712861875,10
Simsbury 14U Blue,1483.0181239055385,1
Colchester 12U,1481.0505242063678,7
Tolland,1480.196783203081,1
Somers 12U Red,1475.433715408296,8
East Longmeadow 12U White,1474.3436702366605,8
Southington 12U White,1469.0629587258782,9
Agawam 12U,1466.5525128597794,12
East Longmeadow 12U A,1452.027684702896,13
Bristol 12U,1438.8473972254255,15
Newington 12U,1427.6810758572715,11
Glastonbury 12U Blue,1417.267252015899,11
Simsbury 12U Blue,1412.8120730032183,11
Farmington 12U Black,1409.1262442651976,7
Granby 12U,1396.743569984142,20
Middletown 12U,1386.8958111307984,10
West Hartford 12U White,1375.6489099265825,11
Northampton 12U,1373.8229945295122,12
Tolland 12U,1364.683773794838,7
Simsbury 12U A,1345.6288599691588,11
South Hadley 12U,1340.5945155493741,13
