team,games_played,avg_points_for,avg_points_against,avg_margin,adjusted_offense_rating,adjusted_defense_rating,adjusted_margin_rating,power_rating_v2,power_rank_v2,confidence_tier,shrinkage_multiplier
West Hartford 12U Gold,11,12.0,3.1818181818181817,8.818181818181818,6.126518387043097,2.91251132434781,5.961811525874979,4.098745424039048,1,high,0.6875
Westfield 12U Red,11,10.727272727272727,2.3636363636363638,8.363636363636363,4.693715680292862,3.6855806386007726,5.638143176733781,3.8762234340044746,2,high,0.6875
Suffield 12U,12,11.416666666666666,3.3333333333333335,8.083333333333334,5.383109619686802,2.7158836689038033,5.334638329604772,3.765627056191604,3,high,0.7058823529411765
RHAM 12U,10,9.3,3.2,6.1,3.2664429530201344,2.849217002237136,5.402348993288591,3.601565995525727,4,high,0.6666666666666666
Minnechaug 12U,12,10.5,4.166666666666667,6.333333333333333,4.466442953020135,1.8825503355704696,3.8352908277404922,2.7072641136991713,5,high,0.7058823529411765
West Springfield 12U,11,7.090909090909091,3.1818181818181817,3.909090909090909,1.0573520439292254,2.8673988204189547,3.912649989831198,2.6899468680089487,6,high,0.6875
Wolcott 12U,16,7.875,4.5625,3.3125,1.8414429530201346,1.4867170022371363,3.065680928411633,2.3357568978374346,7,high,0.7619047619047619
Minnechaug 12U White,10,5.9,3.3,2.6,-0.1335570469798654,2.749217002237136,2.6039149888143176,1.7359433258762116,8,high,0.6666666666666666
Suffield 12U White,12,5.5,3.0833333333333335,2.4166666666666665,-0.5335570469798654,2.9658836689038033,2.420581655480984,1.7086458744571653,9,high,0.7058823529411765
West Hartford 12U Green,9,5.666666666666667,3.111111111111111,2.5555555555555554,-0.22427293064876924,2.8354151130996765,2.569017213522247,1.6515110658357304,10,high,0.6428571428571429
Glastonbury 12U White,8,9.75,7.375,2.375,3.7164429530201346,-1.3257829977628637,2.253425615212528,1.386723455515402,11,high,0.6153846153846154
Suffield Juniors 1 Blue,1,13.0,0.0,13.0,6.966442953020135,6.049217002237136,8.0,1.3333333333333333,12,very low,0.16666666666666666
Avon 12U,11,6.545454545454546,4.2727272727272725,2.272727272727273,0.10238420991929251,2.3521299898664143,1.7723635509633069,1.2184999412872735,13,high,0.6875
Somers Juniors,1,8.0,1.0,7.0,1.9664429530201346,5.049217002237136,7.0039149888143175,1.1673191648023862,14,very low,0.16666666666666666
Avon 12U B,7,4.714285714285714,2.857142857142857,1.8571428571428572,-1.135906040268456,3.0600431447746885,1.8738914189837008,1.0931033277404922,15,high,0.5833333333333334
Southington 12U Blue,12,8.75,7.25,1.5,2.863178767541184,-1.1594298691614129,1.1336180597925563,0.800200983382981,16,high,0.7058823529411765
Berkshire,1,9.0,5.0,4.0,2.9664429530201346,1.0492170022371363,4.0039149888143175,0.6673191648023862,17,very low,0.16666666666666666
Wethersfield 12U B,9,5.444444444444445,4.888888888888889,0.5555555555555556,-0.2508474001762589,1.1127748401238333,0.7428246390075248,0.47753012507626597,18,high,0.6428571428571429
