team,games_played,avg_points_for,avg_points_against,avg_margin,adjusted_offense_rating,adjusted_defense_rating,adjusted_margin_rating,power_rating_v3_recency,power_rank_v3_recency,confidence_tier,shrinkage_multiplier,average_recency_weight
Westfield 12U Red,11,10.894251667541035,2.3503260136401116,8.543925653900924,5.234511663894462,4.30656676611623,5.939372882628208,4.083318856806893,1,high,0.6875,0.9877850162866447
West Hartford 12U Gold,11,11.901418022017852,3.2483577221039277,8.653060299913921,5.949390752392438,2.6357080865701086,5.845028088680216,4.018456810967649,2,high,0.6875,0.9804412200177672
Suffield 12U,12,11.51958319818359,3.3502000216239596,8.16938317655963,5.372369706202306,3.5053714570127337,5.452333956283097,3.848706322082186,3,high,0.7058823529411765,1.0042345276872962
RHAM 12U,10,9.229632170390696,3.211224356461518,6.018407813929178,2.987751345535543,2.8091710255639337,5.272604596433566,3.5150697309557106,4,high,0.6666666666666666,0.9971335504885992
Minnechaug 12U,24,10.442788299899137,4.2278942059845335,6.214894093914602,3.9603372678197677,2.569503101461461,3.8629597745613173,3.1969322272231593,5,high,0.8275862068965517,0.9688382193268188
West Springfield 12U,11,7.100260815083562,3.2463318325538024,3.853928982529761,1.1482335454581514,2.6377339761202343,3.8369386172919167,2.637895299388193,6,high,0.6875,1.016153390583358
Wolcott 12U,16,7.945132851222881,4.527636710814983,3.4174961404078985,1.9931055815974696,1.3564290978590534,3.1344376838399177,2.3881429972113657,7,high,0.7619047619047619,1.0021986970684038
Suffield 12U White,12,5.516292013401059,3.0745298822003675,2.4417621312006914,-0.43573525622435194,2.8095359264736692,2.424771765962848,1.7116035995031869,8,high,0.7058823529411765,1.0046688382193267
Minnechaug 12U White,10,5.860651370342003,3.2863065703153613,2.574344800026641,-0.09137589928340852,2.597759238358675,2.5573544347887975,1.7049029565258649,9,high,0.6666666666666666,0.97814332247557
West Hartford 12U Green,9,5.622913986482813,3.2211491420391747,2.40176484444364,-0.6762447119575062,2.82618628583858,2.3388090268029984,1.5035200886590705,10,high,0.6428571428571429,0.9987151646760766
Glastonbury 12U White,8,9.832828323100232,7.358165218084682,2.474663105015549,3.8808010534748196,-1.4740994094106457,2.3274399034807596,1.4322707098343137,11,high,0.6153846153846154,1.0212540716612377
Suffield Juniors 1 Blue,1,13.0,0.0,13.0,7.047972730374588,5.884065808674037,7.983009634762157,1.3305016057936927,12,very low,0.16666666666666666,0.9030944625407166
Somers Juniors,1,8.0,1.0,7.0,2.047972730374588,4.884065808674037,6.983009634762157,1.163834939127026,13,very low,0.16666666666666666,0.8692182410423452
Avon 12U B,7,4.68787843637629,2.8328964157290337,1.8549820206472567,-1.2641488332491204,3.0511693929450026,1.8379916554094136,1.0721617989888246,14,high,0.5833333333333334,1.0029083294555607
Avon 12U,5,6.705210934206687,4.147183760822336,2.558027173384351,0.7531836645812747,1.7368820478517013,1.9368343372492671,0.9684171686246336,15,medium,0.5,1.0045276872964168
Southington 12U Blue,12,8.858610865235672,7.35426809028546,1.50434277495021,2.411248690822206,-1.2372267150971727,0.9784631126778177,0.6906798442431655,16,high,0.7058823529411765,0.9813246471226926
Berkshire,1,9.0,5.0,4.0,3.047972730374588,0.8840658086740367,3.983009634762156,0.663834939127026,17,very low,0.16666666666666666,1.0070032573289902
Meriden 12U,12,5.062840145128588,4.205634404012379,0.8572057411162095,-0.8891871244968231,1.6784314046616582,0.8402153758783661,0.5930932065023762,18,high,0.7058823529411765,1.0174809989142235
Wethersfield 12U B,9,5.42321065052514,4.80253652560846,0.6206741249166801,-0.528816619100271,1.0815292830655767,0.7084259441545928,0.4554166783850954,19,high,0.6428571428571429,1.0045059717698155
Wethersfield 12U A,7,7.71787664447158,7.106098656774877,0.6117779876967034,1.7658493748461688,-1.2220328481008405,0.5947876224588594,0.3469594464343347,20,high,0.5833333333333334,1.0098417868776175
Ellington 12U,9,5.178988745894136,5.830524294150379,-0.6515355482562416,-0.7730385237312755,0.05354151452365901,0.3970322603957426,0.25523502454012026,21,high,0.6428571428571429,1.0081976112920736
Farmington 12U Red,8,5.140012279983626,4.788988948014736,0.35102333196889074,-0.8120149896417844,1.0950768606593009,0.33403296673104715,0.2055587487575675,22,high,0.6153846153846154,0.9947068403908794
Suffield B,1,6.000000000000001,5.0,1.0,0.047972730374588934,0.8840658086740367,0.9830096347621564,0.16383493912702607,23,very low,0.16666666666666666,0.9942996742671009
Vernon 12U,10,5.593460490463215,5.35417534861356,0.2392851418496552,-0.6469749664683219,0.6655402197997863,0.0792728654841735,0.052848576989449,24,high,0.6666666666666666,1.0161237785016284
Burlington 12U,8,7.989947736660204,8.494373261400993,-0.5044255247407904,2.0379204670347923,-2.6103074527269583,0.057418930155267514,0.0353347262493954,25,high,0.6153846153846154,0.9660423452768729
Somers 12U White,7,7.054883676898682,7.161195654746409,-0.1063119778477271,1.2368208718337024,0.3655733276411963,0.034272768529332545,0.01999244830877732,26,high,0.5833333333333334,0.9830851558864586
Berlin 12U A,11,4.9455569190789,4.534035948891936,0.41152097018696326,-1.006470350546511,1.3500298597820997,-0.06363730091964524,-0.04375064438225611,27,high,0.6875,1.0255404204915606
Connecticut Valley Youth Lacrosse,438,5.884065808674037,5.952027269625411,-0.06796146095137415,-0.12952724175109995,-0.05086897654752665,-0.056030709536915566,-0.05539830875207453,28,high,0.9887133182844243,1.0004261300254338
Belchertown 12U,10,5.441821905783673,5.543613251406091,-0.10179134562241937,-0.5102053638417381,0.3404525572679442,-0.11711935173989858,-0.07807956782659906,29,high,0.6666666666666666,1.0019218241042345
Westfield 12U Black,9,5.823197689269644,5.815652447291376,0.0075452419782681135,-0.1288295803557673,0.06841336138266078,-0.1258658490961345,-0.08091376013322932,30,high,0.6428571428571429,0.9209735794426348
South Windsor 12U,22,7.239260125749379,8.833338207340253,-1.594078081590876,1.3999693719455268,-2.290265575225546,-0.23137389637176167,-0.18852687852513914,31,high,0.8148148148148148,1.012585134734972
Longmeadow 12U White,1,3.0,4.999999999999999,-2.0,-2.952027269625411,0.8840658086740367,-2.0169903652378434,-0.3361650608729739,32,very low,0.16666666666666666,0.9441368078175896
Somers 12U Red,8,4.230164489598453,4.802733430091921,-0.572568940493469,-1.7218627800269595,1.0813323785821163,-0.5895593057313122,-0.36280572660388444,33,high,0.6153846153846154,1.0099348534201953
Colchester 12U,7,4.874233340224658,5.597087267130683,-0.7228539269060253,-1.532298838533776,0.5007501487231119,-0.7371641911150338,-0.4300124448171031,34,high,0.5833333333333334,1.0128664495114006
Simsbury,1,3.0,6.0,-3.0,-2.952027269625411,-0.11593419132596328,-3.0169903652378434,-0.5028317275396406,35,very low,0.16666666666666666,1.1350162866449511
West Hartford Green,1,3.0,6.0,-3.0,-2.952027269625411,-0.11593419132596326,-3.0169903652378434,-0.5028317275396406,36,very low,0.16666666666666666,1.1421824104234526
East Longmeadow 12U White,8,5.628905929631756,6.381940457639629,-0.7530345280078734,-0.32312133999365533,-0.49787464896559275,-0.9130782845358012,-0.5618943289451085,37,high,0.6153846153846154,0.992915309446254
Longmeadow 12U Black,10,6.5167196459735734,7.664454001495886,-1.1477343555223138,0.7167253638690996,-1.3784028622022588,-0.8920073992812158,-0.5946715995208105,38,high,0.6666666666666666,1.0452117263843648
Simsbury 14U Blue,1,5.0,9.0,-4.0,-0.9520272696254111,-3.1159341913259633,-4.016990365237843,-0.6694983942063072,39,very low,0.16666666666666666,1.1402280130293159
Agawam 12U,12,6.973553651792008,8.776744564333352,-1.8031909125413434,1.1468656114176132,-2.5612734972897413,-1.2737278691428178,-0.8991020252772832,40,high,0.7058823529411765,1.0012486427795873
East Longmeadow 12U A,13,6.340896570279167,8.725032990403955,-2.3841364201247863,0.6565469615405932,-2.133209643279561,-1.3185389379573824,-0.9522781218581096,41,high,0.7222222222222222,0.9778626910548736
Tolland,1,3.0,10.0,-7.000000000000001,-2.952027269625411,-4.115934191325963,-7.016990365237843,-1.169498394206307,42,very low,0.16666666666666666,1.1473941368078175
Southington 12U White,9,2.961533728309981,5.02721471141506,-2.065680983105079,-2.9904935413154305,0.8568510972589775,-1.9564136162079913,-1.25769446756228,43,high,0.6428571428571429,1.0293340571842198
Bristol 12U,15,3.555606671730734,5.813563855395906,-2.257957183665172,-2.3964205978946773,0.07050195327812997,-1.6912766850426608,-1.2684575137819956,44,high,0.75,1.0148642779587405
Glastonbury 12U Blue,11,3.1381358270289113,5.2906326687673335,-2.152496841738423,-2.8138914425965,0.5934331399067025,-2.06651373903366,-1.4207281955856412,45,high,0.6875,1.0196476162274208
Granby 12U,9,3.6574633920131276,6.216615834626429,-2.559152442613302,-2.5911384298721223,-0.19305930228531892,-2.3805922852345343,-1.5303807547936292,46,high,0.6428571428571429,1.0146036916395222
Newington 12U,11,2.8293565828185896,6.811611392658542,-3.982254809839954,-3.122670686806821,-0.927545583984507,-2.8248769383782935,-1.9421028951350767,47,high,0.6875,0.9611933668936927
