game_date,game_time,season,division,raw_home_team,raw_away_team,home_team,away_team,home_score,away_score,status,source_name,source_url,game_id
2026-05-02,12:00 PM,2026,U12 Boys,Avon 12U,Farmington 12U Black,Avon 12U,Farmington 12U Black,,,scheduled,avon_12u,https://www.cvyl.org/team/225893/games,d4e4f0c12658c34c
2026-05-09,10:00 AM,2026,U12 Boys,Tolland 12U,Granby 12U,Tolland 12U,Granby 12U,,,scheduled,tolland_12u,https://www.cvyl.org/team/225918/games,60cd4b4eb2d08c66
2026-05-16,3:00 PM,2026,U12 Boys,Meriden 12U,Burlington 12U,Meriden 12U,Burlington 12U,,,scheduled,burlington_12u,https://www.cvyl.org/team/225898/games,e32d503c19f2743b
2026-05-24,9:00 AM,2026,U12 Boys,Avon 12U B,Somers Red,Avon 12U B,Somers Red,,,scheduled,avon_12u_b,https://www.cvyl.org/team/225869/games,db823e7d020599b9
2026-05-27,5:30 PM,2026,U12 Boys,Minnechaug,Somers 12U White,Minnechaug,Somers 12U White,,,scheduled,somers_12u_white,https://www.cvyl.org/team/225913/games,8a70543939781559
2026-05-27,6:00 PM,2026,U12 Boys,Wolcott 12U,Farmington 12U Black,Wolcott 12U,Farmington 12U Black,,,scheduled,farmington_12u_black,https://www.cvyl.org/team/225902/games,888ca94e565804a6
2026-05-27,6:30 PM,2026,U12 Boys,Minnechaug,Somers 12U Red,Minnechaug,Somers 12U Red,,,scheduled,somers_12u_red,https://www.cvyl.org/team/225936/games,2f0dc280b8361601
2026-05-27,6:30 PM,2026,U12 Boys,Westfield 12U Black,West Springfield 12U,Westfield 12U Black,West Springfield 12U,,,scheduled,west_springfield_12u,https://www.cvyl.org/team/225921/games,48412df1b1ab72d7
2026-05-29,6:00 PM,2026,U12 Boys,Agawam 12U,West Springfield 12U,Agawam 12U,West Springfield 12U,,,scheduled,agawam_12u,https://www.cvyl.org/team/225891/games,0ee72e7117017ec3
2026-05-29,6:15 PM,2026,U12 Boys,Westfield 12U Black,Berkshires,Westfield 12U Black,Berkshires,,,scheduled,westfield_12u_black,https://www.cvyl.org/team/225922/games,3d23a30b34ea08e1
2026-05-30,2:00 PM,2026,U12 Boys,Glastonbury 12U White,Wethersfield 12U A,Glastonbury 12U White,Wethersfield 12U A,,,scheduled,glastonbury_12u_white,https://www.cvyl.org/team/225903/games,db5b028be6a71db7
2026-05-30,4:00 PM,2026,U12 Boys,Glastonbury 12U Blue,Wethersfield 12U B,Glastonbury 12U Blue,Wethersfield 12U B,,,scheduled,glastonbury_12u_blue,https://www.cvyl.org/team/225930/games,64120c42a8abe417
2026-05-31,3:45 PM,2026,U12 Boys,Avon 12U,Glastonbury 12U White,Avon 12U,Glastonbury 12U White,,,scheduled,avon_12u,https://www.cvyl.org/team/225893/games,8f5c9c1cd663f86b
2026-05-31,,2026,U12 Boys,Paul Bowers Lacrosse Tournament,Granby 12U,Paul Bowers Lacrosse Tournament,Granby 12U,,,scheduled,granby_12u,https://www.cvyl.org/team/225904/games,3cff39c4a0cf81b3
2026-06-03,6:00 PM,2026,U12 Boys,South Hadley 12U,Northampton 12U,South Hadley 12U,Northampton 12U,,,scheduled,northampton_12u,https://www.cvyl.org/team/225910/games,82a3e12914cb70ed
2026-06-03,6:15 PM,2026,U12 Boys,Westfield 12U Black,Simsbury 14U Blue,Westfield 12U Black,Simsbury 14U Blue,,,scheduled,westfield_12u_black,https://www.cvyl.org/team/225922/games,13d05b31f0cc5735
2026-06-04,6:30 PM,2026,U12 Boys,Wolcott 12U,Berlin 12U A,Wolcott 12U,Berlin 12U A,,,scheduled,berlin_12u_a,https://www.cvyl.org/team/225896/games,f46f5c4d4a655459
