team,games_played,average_opponent_elo,opponent_count,sos_rank
Suffield 12U,9,1547.8185892268255,7,1
Southington 12U Blue,8,1533.427887960107,7,2
Longmeadow 12U Black,4,1533.2127607642974,4,3
South Hadley 12U,9,1529.8876332071209,7,4
Westfield 12U Red,8,1528.2629127937844,6,5
Farmington 12U Black,4,1525.994815466992,4,6
South Windsor 12U,8,1523.2723662963076,8,7
East Longmeadow 12U White,5,1523.1528534363315,4,8
Avon 12U,5,1521.2628915348464,5,9
Tolland 12U,5,1520.4079903946,5,10
Ellington 12U,6,1520.2780348371746,6,11
Glastonbury 12U Blue,6,1519.0733053754557,6,12
Simsbury 12U A,8,1518.8204178829717,7,13
Vernon 12U,6,1517.8437072039976,5,14
Somers 12U Red,7,1517.6079753409451,7,15
Glastonbury 12U White,5,1514.7118780759552,4,16
Bristol 12U,12,1509.3696086982418,8,17
Wethersfield 12U A,5,1508.1627067111874,5,18
Agawam 12U,9,1507.9891212104053,8,19
Granby 12U,10,1506.000477703206,10,20
Colchester 12U,4,1504.842594184515,4,21
Minnechaug 12U White,9,1504.805707895515,5,22
Burlington 12U,5,1503.9040394141266,4,23
Simsbury 12U Blue,9,1503.8463782716547,9,24
Somers 12U White,10,1503.7531523904036,10,25
Berkshire,1,1503.363516401002,1,26
Westfield 12U Black,7,1501.663493684827,6,27
Minnechaug 12U,11,1501.5833466258277,7,28
Northampton 12U,6,1499.3277787530972,4,29
Wethersfield 12U B,7,1498.4435617691538,7,30
Meriden 12U,9,1495.3773460584525,6,31
Middletown 12U,8,1493.4561063978401,7,32
East Longmeadow 12U A,11,1493.3850743781609,8,33
West Hartford 12U Green,8,1491.8755611547795,8,34
West Hartford 12U White,6,1490.6496645074305,6,35
Belchertown 12U,10,1488.794161896111,6,36
Newington 12U,10,1487.7764167805333,9,37
Farmington 12U Red,7,1486.5445512356434,7,38
West Hartford 12U Gold,9,1482.61126660704,9,39
Wolcott 12U,12,1482.5457103920899,7,40
RHAM 12U,8,1481.4072120290587,7,41
Suffield 12U White,9,1480.726695619508,8,42
Avon 12U B,5,1475.6602095642106,5,43
Longmeadow 12U White,1,1472.0989043380466,1,44
Suffield B,1,1472.0989043380466,1,45
Berlin 12U A,8,1471.7825062243435,6,46
West Springfield 12U,8,1461.398498698768,7,47
Southington 12U White,6,1458.6131600545689,6,48
Somers Juniors,1,1421.3514507261195,1,49
Suffield Juniors 1 Blue,1,1421.3514507261195,1,50
