team,games_played,last_3_win_pct,last_5_win_pct,recent_avg_margin,recent_offense_rating,recent_defense_rating,current_power_rank,prior_power_rank,power_rank_movement,momentum_score,momentum_label
Suffield Juniors 1 Blue,1,1.0,1.0,13.0,13.0,0.0,13,13,0,21.25,Surging
Suffield 12U,12,1.0,1.0,11.8,14.2,2.4,1,1,0,19.75,Surging
Westfield 12U Red,11,1.0,1.0,11.2,13.2,2.0,2,2,0,19.0,Surging
Somers Juniors,1,1.0,1.0,7.0,8.0,1.0,14,16,2,14.15,Surging
West Hartford 12U Gold,11,1.0,1.0,7.2,11.2,4.0,3,3,0,14.0,Surging
RHAM 12U,11,1.0,1.0,5.6,8.4,2.8,4,4,0,12.0,Surging
Minnechaug 12U,12,0.6666666666666666,0.8,6.2,10.8,4.6,5,5,0,10.750000000000002,Surging
Berkshire,1,1.0,1.0,4.0,9.0,5.0,18,19,1,10.2,Surging
Wolcott 12U,13,1.0,0.8,4.6,8.4,3.8,7,8,1,8.95,Surging
Berlin 12U A,10,0.6666666666666666,0.8,4.0,6.8,2.8,24,27,3,8.6,Surging
Suffield 12U White,12,1.0,0.8,2.8,5.8,3.0,9,12,3,7.100000000000001,Surging
Suffield B,1,1.0,1.0,1.0,6.0,5.0,23,26,3,6.85,Surging
Meriden 12U,12,0.6666666666666666,0.6,3.0,6.0,3.0,21,29,8,6.35,Surging
West Springfield 12U,12,0.6666666666666666,0.8,2.6,7.0,4.4,6,6,0,6.25,Surging
Wethersfield 12U B,9,0.6666666666666666,0.8,1.8,5.6,3.8,19,21,2,5.650000000000001,Surging
Avon 12U B,7,0.6666666666666666,0.8,2.2,5.0,2.8,15,14,-1,5.550000000000001,Surging
Belchertown 12U,12,1.0,0.8,1.4,5.8,4.4,31,34,3,5.35,Surging
Glastonbury 12U White,8,0.6666666666666666,0.6,3.0,10.6,7.6,10,9,-1,4.55,Surging
Southington 12U Blue,12,0.3333333333333333,0.6,1.8,10.4,8.6,16,22,6,4.45,Surging
Vernon 12U,9,0.6666666666666666,0.6,2.2,6.4,4.2,25,25,0,3.75,Improving
Minnechaug 12U White,10,0.6666666666666666,0.6,1.2,5.2,4.0,8,10,2,2.9,Improving
West Hartford 12U Green,9,0.3333333333333333,0.6,1.2,5.8,4.6,12,11,-1,2.3,Improving
Ellington 12U,8,0.6666666666666666,0.6,1.0,5.8,4.8,33,31,-2,1.85,Improving
East Longmeadow 12U A,13,0.6666666666666666,0.4,1.4,7.8,6.4,40,44,4,1.55,Improving
Farmington 12U Red,8,0.3333333333333333,0.6,0.8,5.6,4.8,26,23,-3,1.3999999999999997,Improving
Westfield 12U Black,10,0.6666666666666666,0.4,1.2,7.0,5.8,27,30,3,1.1000000000000003,Improving
Avon 12U,6,0.3333333333333333,0.4,1.4,6.0,4.6,17,15,-2,0.3500000000000002,Steady
Wethersfield 12U A,7,0.3333333333333333,0.4,0.4,7.0,6.6,20,17,-3,-1.0999999999999996,Steady
Somers 12U White,11,0.3333333333333333,0.4,0.4,7.2,6.8,11,7,-4,-1.2999999999999998,Steady
Agawam 12U,12,0.3333333333333333,0.4,-0.8,7.2,8.0,38,37,-1,-2.1999999999999997,Steady
Granby 12U,12,0.3333333333333333,0.4,-1.0,4.4,5.4,43,41,-2,-2.65,Steady
Newington 12U,11,0.3333333333333333,0.6,-2.8,3.4,6.2,44,43,-1,-2.7,Steady
Bristol 12U,16,0.6666666666666666,0.4,-1.8,3.6,5.4,39,39,0,-3.25,Cooling
East Longmeadow 12U White,8,0.3333333333333333,0.2,-1.0,4.8,5.8,36,40,4,-3.45,Cooling
Southington 12U White,9,0.3333333333333333,0.4,-2.8,2.2,5.0,41,46,5,-3.5,Cooling
South Windsor 12U,11,0.3333333333333333,0.6,-2.6,7.0,9.6,28,20,-8,-3.85,Cooling
Somers 12U Red,10,0.3333333333333333,0.2,-1.2,4.2,5.4,30,28,-2,-4.9,Cooling
Longmeadow 12U Black,10,0.3333333333333333,0.4,-3.4,6.4,9.8,37,36,-1,-5.45,Cooling
Burlington 12U,8,0.0,0.4,-3.4,7.0,10.4,22,18,-4,-6.05,Cooling
Glastonbury 12U Blue,11,0.3333333333333333,0.2,-1.8,3.4,5.2,42,38,-4,-6.05,Cooling
Simsbury 12U Blue,11,0.3333333333333333,0.2,-2.8,3.0,5.8,45,42,-3,-7.1,Cooling
Longmeadow 12U White,1,0.0,0.0,-2.0,3.0,5.0,32,33,1,-7.3,Cooling
Northampton 12U,11,0.0,0.2,-4.0,3.2,7.2,46,47,1,-7.8,Cooling
West Hartford Green,1,0.0,0.0,-3.0,3.0,6.0,29,32,3,-8.15,Cooling
Colchester 12U,7,0.3333333333333333,0.2,-2.6,4.4,7.0,35,24,-11,-8.45,Cooling
Simsbury,1,0.0,0.0,-3.0,3.0,6.0,34,35,1,-8.55,Cooling
West Hartford 12U White,11,0.0,0.0,-3.8,2.2,6.0,49,49,0,-9.75,Cooling
Farmington 12U Black,6,0.0,0.2,-5.2,5.8,11.0,47,45,-2,-9.9,Cooling
Middletown 12U,10,0.0,0.0,-4.8,1.8,6.6,48,48,0,-11.0,Cooling
Tolland 12U,7,0.0,0.0,-8.0,2.4,10.4,52,52,0,-15.0,Cooling
Simsbury 12U A,11,0.0,0.0,-8.2,3.8,12.0,50,50,0,-15.25,Cooling
South Hadley 12U,12,0.0,0.0,-10.2,2.6,12.8,51,51,0,-17.75,Cooling
