team_name,division,team_games_url
Agawam 12U,Agawam 12U,https://www.cvyl.org/team/225891/games
Amherst 12U,Amherst 12U,https://www.cvyl.org/team/225892/games
Avon 12U,Avon 12U,https://www.cvyl.org/team/225893/games
Avon 12U B,Avon 12U B,https://www.cvyl.org/team/225869/games
Belchertown 12U,Belchertown 12U,https://www.cvyl.org/team/225894/games
Berlin 12U A,Berlin 12U A,https://www.cvyl.org/team/225896/games
Bristol 12U,Bristol 12U,https://www.cvyl.org/team/225897/games
Burlington 12U,Burlington 12U,https://www.cvyl.org/team/225898/games
Colchester 12U,Colchester 12U,https://www.cvyl.org/team/225899/games
East Longmeadow 12U A,East Longmeadow 12U A,https://www.cvyl.org/team/225900/games
East Longmeadow 12U White,East Longmeadow 12U White,https://www.cvyl.org/team/225928/games
Ellington 12U,Ellington 12U,https://www.cvyl.org/team/225901/games
Farmington 12U Black,Farmington 12U Black,https://www.cvyl.org/team/225902/games
Farmington 12U Red,Farmington 12U Red,https://www.cvyl.org/team/225929/games
Glastonbury 12U Blue,Glastonbury 12U Blue,https://www.cvyl.org/team/225930/games
Glastonbury 12U White,Glastonbury 12U White,https://www.cvyl.org/team/225903/games
Granby 12U,Granby 12U,https://www.cvyl.org/team/225904/games
Longmeadow 12U Black,Longmeadow 12U Black,https://www.cvyl.org/team/225905/games
Longmeadow 12U White,Longmeadow 12U White,https://www.cvyl.org/team/225932/games
Meriden 12U,Meriden 12U,https://www.cvyl.org/team/225906/games
Middletown 12U,Middletown 12U,https://www.cvyl.org/team/225907/games
Minnechaug 12U,Minnechaug 12U,https://www.cvyl.org/team/225908/games
Minnechaug 12U White,Minnechaug 12U White,https://www.cvyl.org/team/225933/games
Newington 12U,Newington 12U,https://www.cvyl.org/team/225909/games
Northampton 12U,Northampton 12U,https://www.cvyl.org/team/225910/games
RHAM 12U,RHAM 12U,https://www.cvyl.org/team/225911/games
Simsbury 12U A,Simsbury 12U A,https://www.cvyl.org/team/225912/games
Simsbury 12U Blue,Simsbury 12U Blue,https://www.cvyl.org/team/225935/games
Somers 12U Red,Somers 12U Red,https://www.cvyl.org/team/225936/games
Somers 12U White,Somers 12U White,https://www.cvyl.org/team/225913/games
South Hadley 12U,South Hadley 12U,https://www.cvyl.org/team/225914/games
South Windsor 12U,South Windsor 12U,https://www.cvyl.org/team/225915/games
Southington 12U Blue,Southington 12U Blue,https://www.cvyl.org/team/225916/games
Southington 12U White,Southington 12U White,https://www.cvyl.org/team/225937/games
Suffield 12U,Suffield 12U,https://www.cvyl.org/team/225917/games
Suffield 12U White,Suffield 12U White,https://www.cvyl.org/team/225938/games
Tolland 12U,Tolland 12U,https://www.cvyl.org/team/225918/games
Vernon 12U,Vernon 12U,https://www.cvyl.org/team/225919/games
West Hartford 12U Gold,West Hartford 12U Gold,https://www.cvyl.org/team/225920/games
West Hartford 12U Green,West Hartford 12U Green,https://www.cvyl.org/team/225939/games
West Hartford 12U White,West Hartford 12U White,https://www.cvyl.org/team/225940/games
West Springfield 12U,West Springfield 12U,https://www.cvyl.org/team/225921/games
Westfield 12U Black,Westfield 12U Black,https://www.cvyl.org/team/225922/games
Westfield 12U Red,Westfield 12U Red,https://www.cvyl.org/team/225923/games
Wethersfield 12U A,Wethersfield 12U A,https://www.cvyl.org/team/225924/games
Wethersfield 12U B,Wethersfield 12U B,https://www.cvyl.org/team/225943/games
Wolcott 12U,Wolcott 12U,https://www.cvyl.org/team/225925/games
