team_name,games_played,completed_games,scheduled_games,source_count,source_names,opponent_count,opponents,appears_as_source_team,has_12u_suffix,possible_duplicate_group
Agawam,1,1,0,1,somers_12u_white,1,Somers 12U White,False,False,agawam
Agawam 12U,11,6,5,1,agawam_12u,8,East Longmeadow 12U A; Longmeadow 12U Black; Minnechaug 12U; South Hadley 12U; Suffield 12U; West Springfield 12U; Westfield 12U Black; Westfield 12U Red,True,True,agawam
Avon 12U,10,3,7,1,avon_12u,10,Farmington 12U Black; Glastonbury 12U Blue; Glastonbury 12U White; Granby 12U; Simsbury 12U A; Somers 12U White; Southington 12U Blue; West Hartford 12U Gold; Wethersfield 12U A; Wethersfield 12U B,True,True,avon
Avon 12U B,6,4,2,1,avon_12u_b,6,Farmington 12U Red; Simsbury 12U Blue; Somers Red; Southington 12U White; West Hartford 12U Green; West Hartford 12U White,True,True,avon
Belchertown 12U,11,7,4,1,belchertown_12u,6,Berkshire; East Longmeadow 12U A; Minnechaug 12U White; Northampton 12U; South Hadley 12U; West Springfield 12U,True,True,belchertown
Berkshire,1,1,0,1,belchertown_12u,1,Belchertown 12U,False,False,berkshire
Berkshires,1,0,1,1,westfield_12u_black,1,Westfield 12U Black,False,False,berkshires
Berlin 12U A,10,5,5,1,berlin_12u_a,6,Bristol 12U; Meriden 12U; Middletown 12U; Newington 12U; Southington 12U Blue; Wolcott 12U,True,True,berlin
Bristol 12U,15,9,6,2,berlin_12u_a; bristol_12u,10,Berlin 12U A; Burlington 12U; Meriden 12U; Middletown 12U; Newington; Southington 12U Blue; Southington 12U White; West Hartford 12U Gold; West Hartford 12U White; Wolcott 12U,True,True,bristol
Burlington 12U,7,5,2,2,bristol_12u; burlington_12u,6,Bristol 12U; Farmington 12U Black; Meriden 12U; Middletown 12U; Southington 12U Blue; Wolcott 12U,True,True,burlington
Colchester 12U,7,4,3,1,colchester_12u,7,Glastonbury 12U Blue; Middletown 12U; RHAM 12U; South Windsor 12U; Tolland 12U; Vernon 12U; West Hartford 12U Green,True,True,colchester
East Longmeadow 12U A,12,6,6,3,agawam_12u; belchertown_12u; east_longmeadow_12u_a,8,Agawam 12U; Belchertown 12U; Longmeadow 12U Black; Minnechaug 12U; Northampton 12U; South Hadley 12U; West Springfield 12U; Westfield 12U Red,True,True,east_longmeadow
East Longmeadow 12U White,7,5,2,1,east_longmeadow_12u_white,5,Minnechaug 12U White; Northampton 12U; Somers 12U Red; Suffield 12U White; Westfield 12U Black,True,True,east_longmeadow
Ellington 12U,9,5,4,1,ellington_12u,9,Granby 12U; RHAM; Simsbury 12U A; Somers 12U White; Suffield 12U; Tolland 12U; Vernon; Vernon 12U; West Hartford 12U Gold,True,True,ellington
Farmington 12U Black,9,4,5,3,avon_12u; burlington_12u; farmington_12u_black,8,Avon 12U; Burlington 12U; Glastonbury 12U White; Simsbury 12U A; Southington 12U Blue; West Hartford 12U Gold; Wethersfield 12U A; Wolcott 12U,True,True,farmington
Farmington 12U Red,8,5,3,2,avon_12u_b; farmington_12u_red,8,Avon 12U B; Glastonbury 12U Blue; Meriden 12U; Simsbury 12U Blue; Southington 12U White; West Hartford 12U Green; West Hartford 12U White; Wethersfield 12U B,True,True,farmington
Glastonbury 12U Blue,11,2,9,4,avon_12u; colchester_12u; farmington_12u_red; glastonbury_12u_blue,9,Avon 12U; Colchester 12U; Farmington 12U Red; Simsbury 12U Blue; Southington 12U White; Suffield 12U White; West Hartford 12U Green; West Hartford 12U White; Wethersfield 12U B,True,True,glastonbury
Glastonbury 12U White,10,2,8,3,avon_12u; farmington_12u_black; glastonbury_12u_white,7,Avon 12U; Farmington 12U Black; Simsbury 12U A; Southington 12U Blue; Suffield 12U; West Hartford 12U Gold; Wethersfield 12U A,True,True,glastonbury
Granby,1,1,0,1,somers_12u_white,1,Somers 12U White,False,False,granby
Granby 12U,13,7,6,4,avon_12u; ellington_12u; granby_12u; tolland_12u,12,Avon 12U; Ellington 12U; Newington 12U; Paul Bowers Lacrosse Tournament; RHAM 12U; Simsbury 12U A; Somers Juniors; South Windsor 12U; Suffield 12U; Suffield Juniors 1 Blue; Tolland 12U; West Springfield 12U,True,True,granby
Longmeadow 12U Black,6,3,3,3,agawam_12u; east_longmeadow_12u_a; longmeadow_12u_black,6,Agawam 12U; East Longmeadow 12U A; Minnechaug 12U; South Hadley 12U; West Hartford 12U Gold; Westfield 12U Red,True,True,longmeadow
Longmeadow 12U White,2,1,1,1,longmeadow_12u_white,2,Somers 12U Red; West Hartford 12U Green,True,True,longmeadow
Meriden 12U,11,5,6,5,berlin_12u_a; bristol_12u; burlington_12u; farmington_12u_red; meriden_12u,7,Berlin 12U A; Bristol 12U; Burlington 12U; Farmington 12U Red; Middletown 12U; Newington 12U; Wolcott 12U,True,True,meriden
Middletown 12U,9,7,2,6,berlin_12u_a; bristol_12u; burlington_12u; colchester_12u; meriden_12u; middletown_12u,8,Berlin 12U A; Bristol 12U; Burlington 12U; Colchester 12U; Meriden 12U; Newington 12U; Vernon 12U; Wolcott 12U,True,True,middletown
Minnechaug,3,0,3,2,somers_12u_red; somers_12u_white,2,Somers 12U Red; Somers 12U White,False,False,minnechaug
Minnechaug 12U,10,9,1,4,agawam_12u; east_longmeadow_12u_a; longmeadow_12u_black; minnechaug_12u,6,Agawam 12U; East Longmeadow 12U A; Longmeadow 12U Black; South Hadley 12U; Suffield 12U; Westfield 12U Red,True,True,minnechaug
Minnechaug 12U White,9,7,2,3,belchertown_12u; east_longmeadow_12u_white; minnechaug_12u_white,5,Belchertown 12U; East Longmeadow 12U White; Somers 12U Red; Suffield 12U White; Westfield 12U Black,True,True,minnechaug
Newington,1,1,0,1,bristol_12u,1,Bristol 12U,False,False,newington
Newington 12U,10,6,4,5,berlin_12u_a; granby_12u; meriden_12u; middletown_12u; newington_12u,8,Berlin 12U A; Granby 12U; Meriden 12U; Middletown 12U; Vernon 12U; West Hartford 12U Gold; West Hartford 12U White; Wolcott 12U,True,True,newington
Northampton 12U,11,4,7,4,belchertown_12u; east_longmeadow_12u_a; east_longmeadow_12u_white; northampton_12u,5,Belchertown 12U; East Longmeadow 12U A; East Longmeadow 12U White; West Springfield 12U; Westfield 12U Black,True,True,northampton
Paul Bowers Lacrosse Tournament,1,0,1,1,granby_12u,1,Granby 12U,False,False,paul_bowers_lacrosse_tournament
RHAM,1,0,1,1,ellington_12u,1,Ellington 12U,False,False,rham
RHAM 12U,8,6,2,3,colchester_12u; granby_12u; rham_12u,7,Colchester 12U; Granby 12U; South Windsor 12U; Tolland 12U; Vernon 12U; West Hartford 12U Green; Wethersfield 12U B,True,True,rham
Simsbury 12U A,11,6,5,6,avon_12u; ellington_12u; farmington_12u_black; glastonbury_12u_white; granby_12u; simsbury_12u_a,10,Avon 12U; Ellington 12U; Farmington 12U Black; Glastonbury 12U White; Granby 12U; Somers 12U White; Suffield 12U; West Hartford 12U Gold; Westfield 12U Red; Wethersfield 12U A,True,True,simsbury
Simsbury 12U Blue,11,9,2,4,avon_12u_b; farmington_12u_red; glastonbury_12u_blue; simsbury_12u_blue,10,Avon 12U B; Farmington 12U Red; Glastonbury 12U Blue; Somers 12U Red; Southington 12U White; Suffield 12U White; West Hartford 12U Green; West Hartford 12U White; Westfield 12U Black; Wethersfield 12U B,True,True,simsbury
Somers 12U Red,10,6,4,5,east_longmeadow_12u_white; longmeadow_12u_white; minnechaug_12u_white; simsbury_12u_blue; somers_12u_red,9,East Longmeadow 12U White; Longmeadow 12U White; Minnechaug; Minnechaug 12U White; Simsbury 12U Blue; Suffield 12U White; Suffield B; West Springfield; Westfield 12U Black,True,True,somers
Somers 12U White,12,9,3,4,avon_12u; ellington_12u; simsbury_12u_a; somers_12u_white,11,Agawam; Avon 12U; Ellington 12U; Granby; Minnechaug; Simsbury 12U A; South Hadley; South Windsor 12U; Suffield 12U; West Springfield; Westfield 12U Red,True,True,somers
Somers Juniors,1,1,0,1,granby_12u,1,Granby 12U,False,False,somers
Somers Red,1,0,1,1,avon_12u_b,1,Avon 12U B,False,False,somers
South Hadley,1,1,0,1,somers_12u_white,1,Somers 12U White,False,False,south_hadley
South Hadley 12U,10,5,5,6,agawam_12u; belchertown_12u; east_longmeadow_12u_a; longmeadow_12u_black; minnechaug_12u; south_hadley_12u,7,Agawam 12U; Belchertown 12U; East Longmeadow 12U A; Longmeadow 12U Black; Minnechaug 12U; West Springfield 12U; Westfield 12U Red,True,True,south_hadley
South Windsor 12U,10,7,3,5,colchester_12u; granby_12u; rham_12u; somers_12u_white; south_windsor_12u,9,Colchester 12U; Granby 12U; RHAM 12U; Somers 12U White; Southington 12U Blue; Suffield 12U; Tolland 12U; Vernon 12U; West Hartford 12U Green,True,True,south_windsor
Southington 12U Blue,11,7,4,8,avon_12u; berlin_12u_a; bristol_12u; burlington_12u; farmington_12u_black; glastonbury_12u_white; south_windsor_12u; southington_12u_blue,10,Avon 12U; Berlin 12U A; Bristol 12U; Burlington 12U; Farmington 12U Black; Glastonbury 12U White; South Windsor 12U; West Hartford 12U Gold; Wethersfield 12U A; Wolcott 12U,True,True,southington
Southington 12U White,8,4,4,6,avon_12u_b; bristol_12u; farmington_12u_red; glastonbury_12u_blue; simsbury_12u_blue; southington_12u_white,8,Avon 12U B; Bristol 12U; Farmington 12U Red; Glastonbury 12U Blue; Simsbury 12U Blue; West Hartford 12U White; Wethersfield 12U B; Wolcott 12U,True,True,southington
Suffield 12U,12,5,7,9,agawam_12u; ellington_12u; glastonbury_12u_white; granby_12u; minnechaug_12u; simsbury_12u_a; somers_12u_white; south_windsor_12u; suffield_12u,9,Agawam 12U; Ellington 12U; Glastonbury 12U White; Granby 12U; Minnechaug 12U; Simsbury 12U A; Somers 12U White; South Windsor 12U; Westfield 12U Red,True,True,suffield
Suffield 12U White,12,5,7,6,east_longmeadow_12u_white; glastonbury_12u_blue; minnechaug_12u_white; simsbury_12u_blue; somers_12u_red; suffield_12u_white,8,East Longmeadow 12U White; Glastonbury 12U Blue; Minnechaug 12U White; Simsbury 12U Blue; Somers 12U Red; West Hartford 12U White; Westfield 12U Black; Wethersfield 12U B,True,True,suffield
Suffield B,1,1,0,1,somers_12u_red,1,Somers 12U Red,False,False,suffield
Suffield Juniors 1 Blue,1,1,0,1,granby_12u,1,Granby 12U,False,False,suffield_1
Tolland 12U,8,3,5,6,colchester_12u; ellington_12u; granby_12u; rham_12u; south_windsor_12u; tolland_12u,7,Colchester 12U; Ellington 12U; Granby 12U; RHAM 12U; South Windsor 12U; Vernon 12U; West Hartford 12U Green,True,True,tolland
Vernon,1,1,0,1,ellington_12u,1,Ellington 12U,False,False,vernon
Vernon 12U,9,6,3,8,colchester_12u; ellington_12u; middletown_12u; newington_12u; rham_12u; south_windsor_12u; tolland_12u; vernon_12u,8,Colchester 12U; Ellington 12U; Middletown 12U; Newington 12U; RHAM 12U; South Windsor 12U; Tolland 12U; West Hartford 12U Green,True,True,vernon
West Hartford 12U Gold,12,7,5,10,avon_12u; bristol_12u; ellington_12u; farmington_12u_black; glastonbury_12u_white; longmeadow_12u_black; newington_12u; simsbury_12u_a; southington_12u_blue; west_hartford_12u_gold,10,Avon 12U; Bristol 12U; Ellington 12U; Farmington 12U Black; Glastonbury 12U White; Longmeadow 12U Black; Newington 12U; Simsbury 12U A; Southington 12U Blue; Wethersfield 12U A,True,True,west_hartford
