example_archetype,game_id,game_date,home_team,away_team,home_score,away_score,actual_winner,hybrid_predicted_winner,hybrid_home_win_probability,favorite_probability,expected_total_goals,expected_margin,poisson_close_game_probability,poisson_upset_probability,hybrid_confidence_score,directional_disagreement,absolute_probability_gap,disagreement_tier,primary_archetype,archetypes,archetype_reason,hybrid_winner_correct,margin_mae,total_goals_mae,actual_upset,actual_close_game
stable_favorite,24480a4327977f5a,2026-05-13,RHAM 12U,Granby 12U,14,2,RHAM 12U,RHAM 12U,0.7867706921164439,0.7867706921164439,11.673372294351331,2.877881298863527,0.4088,0.1555,84.03,False,0.015729307883556,low,stable_favorite,stable_favorite|consensus_pick,close-game probability is elevated; confidence score is strong,True,9.122118701136472,4.326627705648669,False,False
stable_favorite,5c05511095b052a4,2026-05-12,West Springfield 12U,South Hadley 12U,9,3,West Springfield 12U,West Springfield 12U,0.8237679147889136,0.8237679147889136,12.672685079936135,5.447396857890651,0.1968,0.0414,82.07,False,0.1168820852110863,medium,stable_favorite,stable_favorite|consensus_pick,confidence score is strong,True,0.5526031421093487,0.6726850799361372,False,False
stable_favorite,fa3465388573d634,2026-05-08,South Hadley 12U,Minnechaug 12U,0,20,Minnechaug 12U,Minnechaug 12U,0.1543382477529798,0.8456617522470202,12.828020261825356,-2.7678282628137776,0.4014,0.1782,73.94,False,0.0658117522470202,low,stable_favorite,stable_favorite|consensus_pick,close-game probability is elevated; confidence score is strong,True,17.23217173718622,7.1719797381746435,False,False
stable_favorite,4da350718624b6ed,2026-05-03,Simsbury 12U A,West Hartford 12U Gold,3,12,West Hartford 12U Gold,West Hartford 12U Gold,0.2128813760497779,0.7871186239502221,13.246280458296226,-3.273341282809743,0.3664,0.1438,76.17,False,0.0321813760497778,low,stable_favorite,stable_favorite|consensus_pick,close-game probability is elevated; confidence score is strong,True,5.726658717190257,1.7537195417037736,False,False
stable_favorite,6b250c9e87ed2153,2026-05-09,RHAM 12U,South Windsor 12U,9,8,RHAM 12U,RHAM 12U,0.7252650103109616,0.7252650103109616,11.912584020521692,2.0706816949978286,0.4666,0.2222,78.55,False,0.0015849896890384,low,stable_favorite,stable_favorite|consensus_pick,close-game probability is elevated; confidence score is strong,True,1.0706816949978286,5.087415979478308,False,True
volatile_favorite,97c34c6bbcbb0a44,2026-05-01,East Longmeadow 12U A,Minnechaug 12U,4,16,Minnechaug 12U,Minnechaug 12U,0.2259864363939874,0.7740135636060126,10.158456026156294,0.2048917135607011,0.5726,0.4173,66.28,True,0.2947635636060125,high,high_variance,volatile_favorite|upset_prone|high_variance,Power and Poisson favor opposite teams; high probability disagreement; Poisson simulations show notable upset risk; close-game probability is elevated,True,12.204891713560702,9.841543973843706,False,False
volatile_favorite,f2e6bb9a1fe3f41a,2026-04-30,Ellington 12U,Somers 12U White,1,7,Somers 12U White,Somers 12U White,0.332272293755826,0.667727706244174,10.509025490509476,0.5045782443141604,0.5546,0.3734,59.459999999999994,True,0.2356777062441739,high,high_variance,volatile_favorite|upset_prone|high_variance,Power and Poisson favor opposite teams; high probability disagreement; Poisson simulations show notable upset risk; close-game probability is elevated,True,6.50457824431416,2.509025490509476,False,False
volatile_favorite,0ad70d3d180f9737,2026-05-04,Bristol 12U,Wolcott 12U,2,7,Wolcott 12U,Wolcott 12U,0.3412704686712899,0.65872953132871,10.795421179656708,0.3867881141206686,0.5568,0.3969,54.16,True,0.19927953132871,medium,upset_prone,volatile_favorite|upset_prone,Power and Poisson favor opposite teams; Poisson simulations show notable upset risk; close-game probability is elevated,True,5.386788114120669,1.7954211796567066,False,False
volatile_favorite,771b4767d7a54ca4,2026-04-26,RHAM 12U,Tolland 12U,11,1,RHAM 12U,RHAM 12U,0.5929640190150621,0.5929640190150621,10.244721684210155,2.274145217911026,0.4692,0.1894,75.02,False,0.1699859809849379,medium,volatile_favorite,volatile_favorite,close-game probability is elevated; confidence score is strong,True,7.725854782088974,1.7552783157898446,False,False
volatile_favorite,8a8779819c7d74d1,2026-05-04,Westfield 12U Red,Minnechaug 12U,3,6,Minnechaug 12U,Westfield 12U Red,0.5872776204164096,0.5872776204164096,11.667647964461056,2.8715538183832585,0.4153,0.1586,64.77,False,0.2122723795835903,medium,volatile_favorite,volatile_favorite,close-game probability is elevated,False,5.8715538183832585,2.6676479644610573,True,False
toss_up,1048a8626adef5ff,2026-05-06,South Windsor 12U,Somers 12U White,4,14,Somers 12U White,Somers 12U White,0.4788745629042715,0.5211254370957286,11.924257792991469,3.474927699854864,0.3552,0.1233,48.54,True,0.3612754370957284,extreme,deceptive_toss_up,toss_up|deceptive_toss_up|high_variance,Power and Poisson favor opposite teams; extreme probability disagreement; winner probability is near 50/50; close-game probability is elevated,True,13.474927699854865,6.075742207008531,False,False
toss_up,4c35cd9df207f850,2026-04-30,Bristol 12U,Wolcott 12U,7,11,Wolcott 12U,Wolcott 12U,0.4823402417988005,0.5176597582011995,7.655861152372781,1.4446306227082233,0.5804,0.2356,29.5,True,0.2199597582011995,medium,deceptive_toss_up,toss_up|deceptive_toss_up|defensive_grinder|upset_prone|high_variance,Power and Poisson favor opposite teams; winner probability is near 50/50; low projected scoring environment; close-game probability is elevated,True,5.444630622708223,10.34413884762722,False,False
toss_up,fbbd696c97a71b1b,2026-05-03,Farmington 12U Black,Wethersfield 12U A,3,10,Wethersfield 12U A,Wethersfield 12U A,0.4527021637717613,0.5472978362282387,16.41535032683025,3.336312380912929,0.3471,0.1678,35.46,True,0.3461978362282386,high,deceptive_toss_up,toss_up|deceptive_toss_up|offensive_shootout|upset_prone|high_variance,Power and Poisson favor opposite teams; high probability disagreement; winner probability is near 50/50; high projected scoring environment; close-game probability is elevated,True,10.33631238091293,3.41535032683025,False,False
toss_up,42596b71e414a689,2026-05-08,Southington 12U White,Farmington 12U Red,1,7,Farmington 12U Red,Farmington 12U Red,0.4836918631950917,0.5163081368049083,12.077440324840897,2.6184487392724165,0.4167,0.1821,38.22,True,0.2908581368049082,high,deceptive_toss_up,toss_up|deceptive_toss_up|upset_prone|high_variance,Power and Poisson favor opposite teams; high probability disagreement; winner probability is near 50/50; close-game probability is elevated,True,8.618448739272417,4.077440324840897,False,False
toss_up,2085dacc82877b69,2026-05-02,Westfield 12U Black,Simsbury 12U Blue,13,4,Westfield 12U Black,Westfield 12U Black,0.5107111536102636,0.5107111536102636,11.62874616123906,1.312109786022547,0.5101,0.2964,66.11,False,0.1372888463897363,medium,upset_prone,toss_up|upset_prone,winner probability is near 50/50; Poisson simulations show notable upset risk; close-game probability is elevated,True,7.687890213977453,5.371253838760939,False,False
deceptive_toss_up,072bfa5e327b2480,2026-04-26,Somers 12U White,Simsbury 12U A,20,5,Somers 12U White,Somers 12U White,0.53610762728886,0.53610762728886,14.149397534416494,-5.148362434181103,0.2163,0.0622,26.78,True,0.4555576272888599,extreme,deceptive_toss_up,deceptive_toss_up|offensive_shootout|upset_prone|high_variance,Power and Poisson favor opposite teams; extreme probability disagreement; winner probability is near 50/50; high projected scoring environment,True,20.148362434181102,10.850602465583506,False,False
deceptive_toss_up,3651cbf6a3ac00f4,2026-04-23,West Hartford 12U Gold,Farmington 12U Black,16,0,West Hartford 12U Gold,West Hartford 12U Gold,0.5655920253890571,0.5655920253890571,14.250470533710754,-3.8784910449008194,0.3234,0.1215,66.58,True,0.410292025389057,extreme,deceptive_toss_up,deceptive_toss_up|offensive_shootout|high_variance,Power and Poisson favor opposite teams; extreme probability disagreement; high projected scoring environment,True,19.87849104490082,1.7495294662892462,False,False
deceptive_toss_up,1048a8626adef5ff,2026-05-06,South Windsor 12U,Somers 12U White,4,14,Somers 12U White,Somers 12U White,0.4788745629042715,0.5211254370957286,11.924257792991469,3.474927699854864,0.3552,0.1233,48.54,True,0.3612754370957284,extreme,deceptive_toss_up,toss_up|deceptive_toss_up|high_variance,Power and Poisson favor opposite teams; extreme probability disagreement; winner probability is near 50/50; close-game probability is elevated,True,13.474927699854865,6.075742207008531,False,False
deceptive_toss_up,cbc0a9e2e481ce52,2026-04-29,Newington 12U,Vernon 12U,4,8,Vernon 12U,Vernon 12U,0.4683619766396242,0.5316380233603758,16.157362859233643,7.413519998226532,0.1033,0.0218,38.91,True,0.5005380233603758,extreme,deceptive_toss_up,deceptive_toss_up|offensive_shootout|upset_prone|high_variance|fake_blowout,Power and Poisson favor opposite teams; extreme probability disagreement; winner probability is near 50/50; high projected scoring environment,True,11.413519998226532,4.157362859233643,False,False
deceptive_toss_up,8b43b577819bdcab,2026-04-25,Granby 12U,Suffield Juniors 1 Blue,0,13,Suffield Juniors 1 Blue,Suffield Juniors 1 Blue,0.4433533255546116,0.5566466744453884,10.381071097559635,0.1484810064751798,0.5574,0.4149,32.93,True,0.0788466744453884,low,deceptive_toss_up,deceptive_toss_up|upset_prone|high_variance,Power and Poisson favor opposite teams; Poisson simulations show notable upset risk; close-game probability is elevated,True,13.14848100647518,2.618928902440363,False,False
offensive_shootout,072bfa5e327b2480,2026-04-26,Somers 12U White,Simsbury 12U A,20,5,Somers 12U White,Somers 12U White,0.53610762728886,0.53610762728886,14.149397534416494,-5.148362434181103,0.2163,0.0622,26.78,True,0.4555576272888599,extreme,deceptive_toss_up,deceptive_toss_up|offensive_shootout|upset_prone|high_variance,Power and Poisson favor opposite teams; extreme probability disagreement; winner probability is near 50/50; high projected scoring environment,True,20.148362434181102,10.850602465583506,False,False
