model,bucket,games,average_predicted_probability,actual_win_rate,calibration_gap
elo,50-55%,74,0.5210223278179184,0.5405405405405406,0.01951821272262222
elo,55-60%,28,0.5728788751102237,0.8214285714285714,0.24854969631834767
elo,60-65%,12,0.6161951929697916,1.0,0.38380480703020836
elo,65-70%,3,0.6744190158252371,1.0,0.3255809841747629
elo,70-75%,4,0.705878326747448,1.0,0.294121673252552
power_v3_recency,50-55%,58,0.5213361976142651,0.5344827586206896,0.013146561006424529
power_v3_recency,55-60%,30,0.5715016484050951,0.7666666666666667,0.19516501826157162
power_v3_recency,60-65%,16,0.626963340922858,1.0,0.373036659077142
power_v3_recency,65-70%,10,0.6764621490229658,0.9,0.22353785097703427
power_v3_recency,70-75%,4,0.7257580061084601,1.0,0.2742419938915399
power_v3_recency,75%+,3,0.767390268778767,1.0,0.23260973122123296
power_v3_calibrated,50-55%,47,0.5209564377420909,0.5319148936170213,0.010958455874930384
power_v3_calibrated,55-60%,30,0.5743861191939258,0.7333333333333333,0.1589472141394075
power_v3_calibrated,60-65%,14,0.6221690630223635,0.7142857142857143,0.09211665126335078
power_v3_calibrated,65-70%,13,0.6713009049159572,1.0,0.3286990950840428
power_v3_calibrated,70-75%,9,0.7246189953901809,0.8888888888888888,0.1642698934987079
power_v3_calibrated,75%+,8,0.7986313517572725,1.0,0.2013686482427275
