feature_a,feature_b,correlation,abs_correlation
rolling_margin_std_last_5,recent_result_volatility,1.0,1.0
elo_diff_home,elo_home_probability,0.9997415710268348,0.9997415710268348
power_v3_recency_home_probability,power_v3_calibrated_home_probability,0.9997126908667094,0.9997126908667094
power_v3_recency_win_probability,power_v3_calibrated_win_probability,0.9995585244279409,0.9995585244279409
elo_home_probability,power_v3_recency_home_probability,0.9713745388717763,0.9713745388717763
elo_diff_home,power_v3_recency_home_probability,0.9699319847556201,0.9699319847556201
elo_home_probability,power_v3_calibrated_home_probability,0.9695956111205029,0.9695956111205029
elo_diff_home,power_v3_calibrated_home_probability,0.9676620468973236,0.9676620468973236
rolling_margin_last_3,rolling_margin_last_5,0.963289411327041,0.963289411327041
recent_vs_season_margin_delta,power_rating_trend,0.9583614239524983,0.9583614239524983
predicted_win_probability,power_v3_recency_win_probability,0.9542083001329806,0.9542083001329806
predicted_win_probability,power_v3_calibrated_win_probability,0.9510156824295316,0.9510156824295316
rolling_margin_std_last_3,rolling_margin_std_last_5,0.9353948410057503,0.9353948410057503
rolling_margin_std_last_3,recent_result_volatility,0.9353948410057503,0.9353948410057503
elo_diff_home,elo_trend,0.9241578862999965,0.9241578862999965
elo_home_probability,elo_trend,0.9208175236014751,0.9208175236014751
power_v3_recency_home_probability,elo_trend,0.8707931139978281,0.8707931139978281
offensive_trend,power_rating_trend,0.8699441337313528,0.8699441337313528
power_v3_calibrated_home_probability,elo_trend,0.8663793434593069,0.8663793434593069
recent_vs_season_margin_delta,offensive_trend,0.8643580493103438,0.8643580493103438
rolling_margin_std_last_5,rating_stability,-0.8529090858447519,0.8529090858447519
rating_stability,recent_result_volatility,-0.8529090858447519,0.8529090858447519
power_v3_calibrated_home_probability,rolling_margin_last_5,0.8522824229372818,0.8522824229372818
power_v3_recency_home_probability,rolling_margin_last_5,0.8506340546541339,0.8506340546541339
rolling_goals_for_std_last_5,recent_result_volatility,0.8442285357277453,0.8442285357277453
rolling_margin_std_last_5,rolling_goals_for_std_last_5,0.8442285357277453,0.8442285357277453
defensive_trend,power_rating_trend,0.8353619388252006,0.8353619388252006
rolling_margin_std_last_3,rating_stability,-0.8286365687133059,0.8286365687133059
power_v3_calibrated_home_probability,rolling_margin_last_3,0.821328731547497,0.821328731547497
power_v3_recency_home_probability,rolling_margin_last_3,0.8200944660631583,0.8200944660631583
defensive_sos,opponent_win_pct,0.8173159078186395,0.8173159078186395
elo_home_probability,rolling_margin_last_5,0.8066005302688269,0.8066005302688269
elo_diff_home,rolling_margin_last_5,0.8039097842687775,0.8039097842687775
elo_home_probability,rolling_margin_last_3,0.7809014015959768,0.7809014015959768
elo_diff_home,rolling_margin_last_3,0.7779445888060244,0.7779445888060244
rolling_goals_against_std_last_5,recent_result_volatility,0.7684328773132302,0.7684328773132302
rolling_margin_std_last_5,rolling_goals_against_std_last_5,0.7684328773132302,0.7684328773132302
recent_vs_season_margin_delta,defensive_trend,0.7664283146950251,0.7664283146950251
rolling_margin_std_last_3,rolling_goals_against_std_last_5,0.7499169238895468,0.7499169238895468
rolling_margin_std_last_3,rolling_goals_for_std_last_5,0.7488670732999848,0.7488670732999848
power_v3_calibrated_win_probability,strength_gap_absolute,0.7306543277560107,0.7306543277560107
power_v3_recency_win_probability,strength_gap_absolute,0.7296213993277582,0.7296213993277582
rolling_goals_against_std_last_5,rating_stability,-0.7207127396660276,0.7207127396660276
pregame_home_elo,elo_home_probability,0.7155058695492649,0.7155058695492649
pregame_home_elo,elo_diff_home,0.7145673226096726,0.7145673226096726
rolling_goals_for_std_last_5,rating_stability,-0.6941347442482354,0.6941347442482354
pregame_home_elo,power_v3_recency_home_probability,0.6732314494511177,0.6732314494511177
pregame_home_elo,power_v3_calibrated_home_probability,0.6723647030586888,0.6723647030586888
pregame_away_elo,power_v3_recency_home_probability,-0.6698184510865309,0.6698184510865309
pregame_away_elo,elo_diff_home,-0.6688346376763719,0.6688346376763719
predicted_win_probability,strength_gap_absolute,0.6680640312355298,0.6680640312355298
pregame_away_elo,power_v3_calibrated_home_probability,-0.6674976248859774,0.6674976248859774
pregame_away_elo,elo_home_probability,-0.6674681835916481,0.6674681835916481
rolling_margin_last_5,elo_trend,0.666317470270626,0.666317470270626
pregame_home_elo,elo_trend,0.6607196746995084,0.6607196746995084
