feature_a,feature_b,correlation,abs_correlation
rolling_margin_std_last_5,recent_result_volatility,1.0,1.0
elo_diff_home,elo_home_probability,0.9997415710268348,0.9997415710268348
power_v3_recency_home_probability,power_v3_calibrated_home_probability,0.9997126908667094,0.9997126908667094
power_v3_recency_win_probability,power_v3_calibrated_win_probability,0.9995585244279409,0.9995585244279409
elo_home_probability,power_v3_recency_home_probability,0.9713745388717763,0.9713745388717763
elo_diff_home,power_v3_recency_home_probability,0.9699319847556201,0.9699319847556201
elo_home_probability,power_v3_calibrated_home_probability,0.9695956111205029,0.9695956111205029
elo_diff_home,power_v3_calibrated_home_probability,0.9676620468973236,0.9676620468973236
rolling_margin_last_3,rolling_margin_last_5,0.963289411327041,0.963289411327041
recent_vs_season_margin_delta,power_rating_trend,0.9583614239524983,0.9583614239524983
predicted_win_probability,power_v3_recency_win_probability,0.9542083001329806,0.9542083001329806
predicted_win_probability,power_v3_calibrated_win_probability,0.9510156824295316,0.9510156824295316
rolling_margin_std_last_3,rolling_margin_std_last_5,0.9353948410057503,0.9353948410057503
rolling_margin_std_last_3,recent_result_volatility,0.9353948410057503,0.9353948410057503
elo_diff_home,elo_trend,0.9241578862999965,0.9241578862999965
elo_home_probability,elo_trend,0.9208175236014751,0.9208175236014751
power_v3_recency_home_probability,elo_trend,0.8707931139978281,0.8707931139978281
offensive_trend,power_rating_trend,0.8699441337313528,0.8699441337313528
power_v3_calibrated_home_probability,elo_trend,0.8663793434593069,0.8663793434593069
recent_vs_season_margin_delta,offensive_trend,0.8643580493103438,0.8643580493103438
rolling_margin_std_last_5,rating_stability,-0.8529090858447519,0.8529090858447519
rating_stability,recent_result_volatility,-0.8529090858447519,0.8529090858447519
power_v3_calibrated_home_probability,rolling_margin_last_5,0.8522824229372818,0.8522824229372818
power_v3_recency_home_probability,rolling_margin_last_5,0.8506340546541339,0.8506340546541339
