model,calibration_type,bucket,games,winner_accuracy,brier_score,log_loss,score_mae,margin_mae,total_goals_mae,average_confidence_score
power_v3_calibrated,overall,all,103,0.7572815533980582,0.18830537894137134,0.5678872550326125,3.2703365435685416,5.1585975825000725,3.7115683259468795,60.73203883495145
power_v3_calibrated,confidence_tier,high,3,1.0,0.10725783018957073,0.3798209694439201,3.609503405257103,4.821070890654489,5.4808844839881905,83.55333333333333
power_v3_calibrated,confidence_tier,low,43,0.6511627906976745,0.2195359867140509,0.6423356248819081,3.518187828487991,5.938778676738095,3.481165522756577,47.69976744186046
power_v3_calibrated,confidence_tier,medium,57,0.8245614035087719,0.1690111072226025,0.5216226752650048,3.0655101253825414,4.587804477645715,3.792259063895284,69.36228070175439
calibrated_poisson,overall,all,103,0.6213592233009708,0.24106045718446606,0.7148965099585168,3.2703365435685416,5.1585975825000725,3.7115683259468795,60.73203883495145
calibrated_poisson,confidence_tier,high,3,1.0,0.059895669166666686,0.2209813172790224,3.609503405257103,4.821070890654489,5.4808844839881905,83.55333333333333
calibrated_poisson,confidence_tier,low,43,0.4418604651162791,0.32402548034883716,0.9308514543638439,3.518187828487991,5.938778676738095,3.481165522756577,47.69976744186046
calibrated_poisson,confidence_tier,medium,57,0.7368421052631579,0.1880077969736842,0.5779786673025415,3.0655101253825414,4.587804477645715,3.792259063895284,69.36228070175439
hybrid,overall,all,103,0.7572815533980582,0.18830537894137134,0.5678872550326125,3.2703365435685416,5.1585975825000725,3.7115683259468795,60.73203883495145
hybrid,confidence_tier,high,3,1.0,0.10725783018957073,0.3798209694439201,3.609503405257103,4.821070890654489,5.4808844839881905,83.55333333333333
hybrid,confidence_tier,low,43,0.6511627906976745,0.2195359867140509,0.6423356248819081,3.518187828487991,5.938778676738095,3.481165522756577,47.69976744186046
hybrid,confidence_tier,medium,57,0.8245614035087719,0.1690111072226025,0.5216226752650048,3.0655101253825414,4.587804477645715,3.792259063895284,69.36228070175439
