analysis_type,bucket,model,games,winner_accuracy,brier_score,log_loss,margin_mae,total_goals_mae,calibration_gap,average_confidence_score,upset_rate,close_game_rate
overall,all,power_v3_calibrated,103,0.7572815533980582,0.18830537894137134,0.5678872550326125,,,-0.1596631137804463,60.73203883495145,0.24271844660194175,0.32038834951456313
confidence_tier,high,power_v3_calibrated,3,1.0,0.10725783018957073,0.3798209694439201,,,-0.30540341526438297,83.55333333333333,0.0,0.0
confidence_tier,low,power_v3_calibrated,43,0.6511627906976745,0.2195359867140509,0.6423356248819081,,,-0.10281381418129276,47.69976744186046,0.3488372093023256,0.3023255813953488
confidence_tier,medium,power_v3_calibrated,57,0.8245614035087719,0.1690111072226025,0.5216226752650048,,,-0.19487888532977604,69.36228070175439,0.17543859649122806,0.3508771929824561
disagreement_tier,extreme,power_v3_calibrated,13,0.7692307692307693,0.21689605684294985,0.6265214151406668,,,-0.2238291778834952,52.08923076923076,0.23076923076923078,0.15384615384615385
disagreement_tier,high,power_v3_calibrated,30,0.7,0.1979982726878078,0.6010992347964516,,,-0.12986156261429516,55.646333333333345,0.3,0.26666666666666666
disagreement_tier,low,power_v3_calibrated,30,0.7333333333333333,0.18040592740097344,0.5451764642035847,,,-0.10259707651550809,68.64866666666667,0.26666666666666666,0.43333333333333335
disagreement_tier,medium,power_v3_calibrated,30,0.8333333333333334,0.17412264297798194,0.5319779300509776,,,-0.21872540776688143,61.64633333333333,0.16666666666666666,0.3333333333333333
overall,all,calibrated_poisson,103,0.6213592233009708,0.24106045718446606,0.7148965099585168,5.1585975825000725,3.7115683259468795,0.12862815533980565,60.73203883495145,0.3786407766990291,0.32038834951456313
confidence_tier,high,calibrated_poisson,3,1.0,0.059895669166666686,0.2209813172790224,4.821070890654489,5.4808844839881905,-0.1793166666666668,83.55333333333333,0.0,0.0
confidence_tier,low,calibrated_poisson,43,0.4418604651162791,0.32402548034883716,0.9308514543638439,5.938778676738095,3.481165522756577,0.28695813953488375,47.69976744186046,0.5581395348837209,0.3023255813953488
confidence_tier,medium,calibrated_poisson,57,0.7368421052631579,0.1880077969736842,0.5779786673025415,4.587804477645715,3.792259063895284,0.025393859649122774,69.36228070175439,0.2631578947368421,0.3508771929824561
disagreement_tier,extreme,calibrated_poisson,13,0.38461538461538464,0.4934756144230769,1.5131240293451607,8.754672747601004,4.448608815553792,0.518903846153846,52.08923076923076,0.6153846153846154,0.15384615384615385
disagreement_tier,high,calibrated_poisson,30,0.5333333333333333,0.27127238474999993,0.763801790561786,5.515571484624755,3.966080268503809,0.2567450000000001,55.646333333333345,0.4666666666666667,0.26666666666666666
disagreement_tier,low,calibrated_poisson,30,0.7,0.1805685674166667,0.5412769769821888,4.237867819709276,3.221223569764306,-0.02934833333333342,68.64866666666667,0.3,0.43333333333333335
disagreement_tier,medium,calibrated_poisson,30,0.7333333333333333,0.16196051791666663,0.49371217059736333,4.164054204955774,3.6280169274095275,-0.010631666666666484,61.64633333333333,0.26666666666666666,0.3333333333333333
overall,all,hybrid,103,0.7572815533980582,0.18830537894137134,0.5678872550326125,5.1585975825000725,3.7115683259468795,-0.1596631137804463,60.73203883495145,0.24271844660194175,0.32038834951456313
confidence_tier,high,hybrid,3,1.0,0.10725783018957073,0.3798209694439201,4.821070890654489,5.4808844839881905,-0.30540341526438297,83.55333333333333,0.0,0.0
confidence_tier,low,hybrid,43,0.6511627906976745,0.2195359867140509,0.6423356248819081,5.938778676738095,3.481165522756577,-0.10281381418129276,47.69976744186046,0.3488372093023256,0.3023255813953488
confidence_tier,medium,hybrid,57,0.8245614035087719,0.1690111072226025,0.5216226752650048,4.587804477645715,3.792259063895284,-0.19487888532977604,69.36228070175439,0.17543859649122806,0.3508771929824561
disagreement_tier,extreme,hybrid,13,0.7692307692307693,0.21689605684294985,0.6265214151406668,8.754672747601004,4.448608815553792,-0.2238291778834952,52.08923076923076,0.23076923076923078,0.15384615384615385
disagreement_tier,high,hybrid,30,0.7,0.1979982726878078,0.6010992347964516,5.515571484624755,3.966080268503809,-0.12986156261429516,55.646333333333345,0.3,0.26666666666666666
disagreement_tier,low,hybrid,30,0.7333333333333333,0.18040592740097344,0.5451764642035847,4.237867819709276,3.221223569764306,-0.10259707651550809,68.64866666666667,0.26666666666666666,0.43333333333333335
disagreement_tier,medium,hybrid,30,0.8333333333333334,0.17412264297798194,0.5319779300509776,4.164054204955774,3.6280169274095275,-0.21872540776688143,61.64633333333333,0.16666666666666666,0.3333333333333333
