analysis_type,bucket,model,games,windows,first_game_date,last_game_date,winner_accuracy,brier_score,log_loss,margin_mae,total_goals_mae,calibration_gap,average_confidence_score,upset_rate,close_game_rate
rolling_backtest_overview,all,all,103,4.0,2026-04-22,2026-05-13,,,,,,,60.73203883495145,0.24271844660194175,0.32038834951456313
overall_model,all,power_v3_calibrated,103,4.0,2026-04-22,2026-05-13,0.7572815533980582,0.18830537894137134,0.5678872550326125,,,-0.1596631137804463,60.73203883495145,0.24271844660194175,0.32038834951456313
overall_model,all,calibrated_poisson,103,4.0,2026-04-22,2026-05-13,0.6213592233009708,0.24106045718446606,0.7148965099585168,5.1585975825000725,3.7115683259468795,0.12862815533980565,60.73203883495145,0.3786407766990291,0.32038834951456313
overall_model,all,hybrid,103,4.0,2026-04-22,2026-05-13,0.7572815533980582,0.18830537894137134,0.5678872550326125,5.1585975825000725,3.7115683259468795,-0.1596631137804463,60.73203883495145,0.24271844660194175,0.32038834951456313
calibration_by_confidence_tier,high,hybrid,3,4.0,2026-04-22,2026-05-13,1.0,0.10725783018957073,0.3798209694439201,4.821070890654489,5.4808844839881905,-0.30540341526438297,83.55333333333333,0.0,0.0
calibration_by_confidence_tier,low,hybrid,43,4.0,2026-04-22,2026-05-13,0.6511627906976745,0.2195359867140509,0.6423356248819081,5.938778676738095,3.481165522756577,-0.10281381418129276,47.69976744186046,0.3488372093023256,0.3023255813953488
calibration_by_confidence_tier,medium,hybrid,57,4.0,2026-04-22,2026-05-13,0.8245614035087719,0.1690111072226025,0.5216226752650048,4.587804477645715,3.792259063895284,-0.19487888532977604,69.36228070175439,0.17543859649122806,0.3508771929824561
performance_drift,first_to_last_window,calibrated_poisson,103,,,,0.4285714285714286,-0.24490805859523812,-0.6298745762061656,-1.4207875680540294,-1.426977675380384,-0.37912047619047595,12.443904761904754,-0.42857142857142855,-0.009523809523809545
performance_drift,first_to_last_window,hybrid,103,,,,0.2857142857142857,-0.13193920090886596,-0.30197340784286836,-1.4207875680540294,-1.426977675380384,-0.10685754308538631,12.443904761904754,-0.2857142857142857,-0.009523809523809545
performance_drift,first_to_last_window,power_v3_calibrated,103,,,,0.2857142857142857,-0.13193920090886596,-0.30197340784286836,,,-0.10685754308538631,12.443904761904754,-0.2857142857142857,-0.009523809523809545
